name,www,institution,city,country,status
Javier Carpinteyro-Ponce,https://bse.carnegiescience.edu/javier-carpinteyro-ponce,Carnegie Institution for Science,Maryland,United States,Certified - CZI Year 1
Fabricio Almeida-Silva,,VIB-UGent Center for Plant Systems Biology,Ghent,Belgium,Certified - CZI Year 1
Anand Ruban Agarvas,,University Hospital Heidelberg,Heidelberg,Germany,Certified - CZI Year 1
Oliver Crook,,University of Oxford,Oxford,United Kingdom,Certified - CZI Year 1
Almut Lütge,,University of Zürich,Zurich,Switzerland,Certified - CZI Year 1
Leo Lahti,,University of Turku,Turku,Finland,Certified - CZI Year 1
Sehyun Oh,,City University of New York,New York,United States,Certified - CZI Year 1
Umar Ahmad,,Bauchi State University,Gadau,Nigeria,Certified - CZI Year 1
Chia Sin Liew,,University of Nebraska-Lincoln,Nebraska,United States,Certified - CZI Year 1
Charlotte Hutchings,,University of Cambridge,Cambridge,United Kingdom,Certified - CZI Year 1
David Shih,,University of Hong Kong,Hong Kong,China,Certified - CZI Year 1
Rodrigo Arcoverde Cerveira da Silva,,Karolinska Institute,Stockholm,Sweden,Certified - CZI Year 1
Zuguang Gu,,German Cancer Research Center,Heidelberg,Germany,Certified - CZI Year 1
Givanna Putri,,Walter and Eliza Hall Institute of Medical Research,Melbourne,Australia,Certified - CZI Year 1
Zedias Chikwambi,,Chinhoyi University of Technology,Chinhoyi,Zimbabwe,Certified - CZI Year 1
Pageneck Chikondowa,,African Institute of Biomedical Science and Technology,Harare,Zimbabwe,Certified - CZI Year 1
Marie Hidjo,,African Institute of Biomedical Science and Technology,Harare,Zimbabwe,Certified - CZI Year 1
Kevin Stachelek,,University of Southern California,Los Angeles,United States,Certified - CZI Year 2
Erick Isaac Navarro Delgado,https://erick-navarrodelgado.netlify.app,University of British Columbia,Vancouver,Canada,Certified - CZI Year 2
Pedro Baldoni,https://plbaldoni.rbind.io/,University of Pittsburgh,Pittsburgh,United States,Certified - CZI Year 2
Princess Rodriguez,,University of Vermont,Burlington,United States,Certified - CZI Year 2
Tim Triche,,Van Andel Institute,Grand Rapids,United States,Certified - CZI Year 2
Izabela Mamede,,Universidade Federal de Minas Gerais,Belo Horizonte,Brazil,Certified - CZI Year 2
Jacques Serizay,,Institut Pasteur,Paris,France,Certified - CZI Year 2
Robert Ivanek,,"University of Basel, Swiss Institute of Bioinformatics",Basel,Switzerland,Certified - CZI Year 2
Hamdi Furkan Kepenek,,Abdullah G√ºl University,Kayseri,Turkey,Certified - CZI Year 2
Ziru Chen,,GuangZhou Lab,Guangzhou,China,Certified - CZI Year 2
Amal Boukteb,,National Institute for Agricultural Research of Tunisia (INRAT),Tunis,Tunisia,Certified - CZI Year 2
Arnab Mukherjee,,Manipal Institute of Technology,Manipal,India,Certified - CZI Year 2
Harvinder Singh,,"Department of Translational and Regenerative Medicine, PGIMER",Chandigarh,India,Certified - CZI Year 2
Janani Ravi,,University of Colorado Anschutz Medical Campus,Aurora,United States,Certified - CZI Year 2